Agency Name,Website
Consumer Product Safety Commission        (CPSC),https://www.cpsc.gov/
Coordinating Council on Juvenile Justice and Delinquency Prevention,https://juvenilecouncil.ojp.gov/
Copyright Office,https://www.copyright.gov/
Corps of Engineers,http://www.usace.army.mil/
Council of Economic Advisers        (CEA),https://www.whitehouse.gov/cea
Council of the Inspectors General on Integrity and Efficiency        (CIGIE),http://www.ignet.gov
Council on Environmental Quality        (CEQ),https://www.whitehouse.gov/ceq/
Court of Appeals for the Armed Forces,https://www.armfor.uscourts.gov/newcaaf/home.htm
Court of Appeals for the Federal Circuit,https://cafc.uscourts.gov/
Court of Appeals for Veterans Claims,http://www.uscourts.cavc.gov
Court of Federal Claims,http://www.uscfc.uscourts.gov/
Court of International Trade,http://www.cit.uscourts.gov/
Court Services and Offender Supervision Agency for the District of Columbia        (CSOSA),https://www.csosa.gov
Customs and Border Protection        (CBP),https://www.cbp.gov/
Cyber Command,https://www.cybercom.mil/
Cybersecurity and Infrastructure Security Agency        (CISA),https://www.cisa.gov
Debt and Claims Management Center,https://www.dfas.mil/debtandclaims.html
Defense Advanced Research Projects Agency        (DARPA),https://www.darpa.mil/
Defense Commissary Agency,https://www.commissaries.com/
Defense Contract Audit Agency        (DCAA),https://www.dcaa.mil
Defense Contract Management Agency        (DCMA),https://www.dcma.mil/
Defense Counterintelligence and Security Agency        (DCSA),https://www.dcsa.mil/
Defense Department        (DOD),https://www.defense.gov/
Defense Finance and Accounting Service        (DFAS),https://www.dfas.mil
Defense Finance and Accounting Service Debt and Claims Management Center,https://www.dfas.mil/debtandclaims.html
Defense Health Agency        (DHA),https://www.health.mil/dha
Defense Information Systems Agency        (DISA),http://www.disa.mil/
Defense Intelligence Agency        (DIA),https://www.dia.mil/
Defense Logistics Agency        (DLA),https://www.dla.mil/
Defense Nuclear Facilities Safety Board        (DNFSB),https://www.dnfsb.gov/
Defense POW/MIA Accounting Agency        (DPAA),https://www.dpaa.mil/
Defense Security Cooperation Agency        (DSCA),https://www.dsca.mil/
Defense Technical Information Center        (DTIC),https://discover.dtic.mil/
Defense Threat Reduction Agency        (DTRA),https://www.dtra.mil
Delaware River Basin Commission        (DRBC),http://www.state.nj.us/drbc/
Delta Regional Authority        (DRA),https://dra.gov/
Denali Commission,https://www.denali.gov/
Department of Agriculture        (USDA),https://www.usda.gov/
Department of Commerce        (DOC),https://www.commerce.gov/
Department of Defense        (DOD),https://www.defense.gov/
Department of Education        (ED),https://www.ed.gov/
Department of Energy        (DOE),https://www.energy.gov/
