Agency Name,Website
"Postsecondary Education, Office of        (OPE)",http://www2.ed.gov/about/offices/list/ope/index.html
"President's Council on Fitness, Sports and Nutrition        (PCSFN)",https://health.gov/our-work/nutrition-physical-activity/presidents-council
Presidential Scholars Commission,http://www.ed.gov/programs/psp/commission.html?exp=0
Presidio Trust,http://www.presidio.gov
Pretrial Services Agency for the District of Columbia,https://www.psa.gov/
Prevention Information Network        (NPIN),https://npin.cdc.gov/
Privacy and Civil Liberties Oversight Board        (PCLOB),https://www.pclob.gov/
Public and Indian Housing        (PIH),https://www.hud.gov/program_offices/public_indian_housing
Radio and TV Martí        (Radio y TV Martí),https://www.usagm.gov/networks/ocb/
Radio Free Asia        (RFA),http://www.rfa.org/
Radio Free Europe and Radio Liberty        (RFE/RL),http://www.rferl.org/
Radio Sawa,https://www.alhurra.com/
Railroad Retirement Board        (RRB),https://rrb.gov/
"Reclamation, Bureau of",https://www.usbr.gov/
"Refugee Resettlement, Office of        (ORR)",https://www.acf.hhs.gov/orr
Rehabilitation Services Administration        (RSA),https://rsa.ed.gov/
Risk Management Agency        (RMA),http://www.rma.usda.gov/
Rural Business-Cooperative Service,https://www.rd.usda.gov/about-rd/agencies/rural-business-cooperative-service
Rural Development,https://www.rd.usda.gov/
Rural Housing Service,https://www.rd.usda.gov/about-rd/agencies/rural-housing-service
Rural Utilities Service        (RUS),https://www.rd.usda.gov/about-rd/agencies/rural-utilities-service
"Safety and Environmental Enforcement, Bureau of        (BSEE)",https://www.bsee.gov/
Saint Lawrence Seaway Development Corporation        (GLS),http://www.seaway.dot.gov/
"Science and Technology Policy, Office of        (OSTP)",https://www.whitehouse.gov/ostp/
"Scientific and Technical Information, Office of        (OSTI)",http://www.osti.gov/
Secret Service,https://www.secretservice.gov/
Securities and Exchange Commission        (SEC),https://www.sec.gov/
Selective Service System        (SSS),https://www.sss.gov/
Senate,https://www.senate.gov/
Sentencing Commission,https://www.ussc.gov/
"Servicemember Affairs, Office of",https://www.consumerfinance.gov/consumer-tools/educator-tools/servicemembers/
Small Business Administration        (SBA),http://www.sba.gov/
Smithsonian Institution,http://www.si.edu/
Social Security Administration        (SSA),http://www.ssa.gov/
Social Security Advisory Board        (SSAB),https://www.ssab.gov/
Southeastern Power Administration,https://www.energy.gov/sepa/southeastern-power-administration
Southern Command        (SOUTHCOM),http://www.southcom.mil
Southwestern Power Administration,https://www.energy.gov/swpa/southwestern-power-administration
Space Command,https://www.spacecom.mil/
"Special Counsel, Office of        (OSC)",https://osc.gov/
"Special Education and Rehabilitative Services, Office of        (OSERS)",http://www.ed.gov/about/offices/list/osers/index.html
Special Operations Command,https://www.socom.mil/
State Department        (DOS),https://www.state.gov/
State Justice Institute        (SJI),https://www.sji.gov/
Stennis Center for Public Service,http://www.stennis.gov/
Strategic Command        (USSTRATCOM),http://www.stratcom.mil
Substance Abuse and Mental Health Services Administration        (SAMHSA),https://www.samhsa.gov/
Supreme Court of the United States,http://www.supremecourtus.gov/
"Surface Mining, Reclamation and Enforcement, Office of        (OSMRE)",http://www.osmre.gov/
Surface Transportation Board        (STB),https://www.stb.gov/
Susquehanna River Basin Commission        (SRBC),http://www.srbc.net/
Tax Court,http://www.ustaxcourt.gov/
Tennessee Valley Authority,https://www.tva.com/
Trade and Development Agency        (USTDA),http://www.ustda.gov/
Trade Representative,http://www.ustr.gov/
Transportation Department        (DOT),https://www.transportation.gov
Transportation Security Administration        (TSA),https://www.tsa.gov
"Transportation Statistics, Bureau of        (BTS)",https://www.bts.gov/
Treasury Department,https://home.treasury.gov/
Trustee Program,https://www.justice.gov/ust
U.S. AbilityOne Commission,https://www.abilityone.gov/
U.S. Access Board,https://www.access-board.gov/
U.S. Africa Command,https://www.africom.mil/
U.S. Agency for Global Media,https://www.usagm.gov/
U.S. Agency for International Development        (USAID),http://www.usaid.gov/
U.S. Air Force,https://www.af.mil/
U.S. Air Force Reserve Command,https://www.afrc.af.mil/
U.S. Arctic Research Commission        (USARC),https://www.arctic.gov/
U.S. Army,https://www.army.mil/
U.S. Army Corps of Engineers,http://www.usace.army.mil/
U.S. Botanic Garden,http://www.usbg.gov/
U.S. Capitol Police,https://www.uscp.gov/
U.S. Capitol Visitor Center,http://www.visitthecapitol.gov
U.S. Census Bureau,https://www.census.gov/
U.S. Central Command        (CENTCOM),https://www.centcom.mil/
U.S. Chemical Safety Board        (CSB),https://www.csb.gov/
U.S. Citizenship and Immigration Services        (USCIS),http://www.uscis.gov
U.S. Coast Guard        (USCG),https://www.uscg.mil/
U.S. Commission of Fine Arts,http://www.cfa.gov/
U.S. Commission on International Religious Freedom        (USCIRF),http://www.uscirf.gov/
U.S. Commodity Futures Trading Commission        (CFTC),https://www.cftc.gov/
U.S. Court of Appeals for Veterans Claims,http://www.uscourts.cavc.gov
U.S. Courts of Appeal,http://www.uscourts.gov/about-federal-courts
U.S. Customs and Border Protection        (CBP),https://www.cbp.gov/
U.S. Cyber Command,https://www.cybercom.mil/
U.S. Department of Agriculture        (USDA),https://www.usda.gov/
U.S. Department of Commerce        (DOC),https://www.commerce.gov/
U.S. Department of Defense        (DOD),https://www.defense.gov/
U.S. Department of Education        (ED),https://www.ed.gov/
U.S. Department of Energy        (DOE),https://www.energy.gov/
U.S. Department of Health and Human Services        (HHS),https://www.hhs.gov/
U.S. Department of Homeland Security        (DHS),https://www.dhs.gov/
U.S. Department of Housing and Urban Development        (HUD),https://www.hud.gov/
U.S. Department of Justice        (DOJ),https://www.justice.gov/
U.S. Department of Labor        (DOL),https://www.dol.gov/
U.S. Department of State        (DOS),https://www.state.gov/
U.S. Department of the Interior        (DOI),https://www.doi.gov/
U.S. Department of the Treasury,https://home.treasury.gov/
U.S. Department of Transportation        (DOT),https://www.transportation.gov
U.S. Department of Veterans Affairs        (VA),https://www.va.gov/
U.S. Election Assistance Commission        (EAC),http://www.eac.gov/
U.S. European Command        (USEUCOM),https://www.eucom.mil
U.S. Fire Administration        (USFA),https://www.usfa.fema.gov/
U.S. Fleet Forces Command        (USFFC),https://www.usff.navy.mil/
U.S. Geological Survey        (USGS),https://www.usgs.gov/
U.S. House of Representatives,http://www.house.gov/
U.S. Immigration and Customs Enforcement        (ICE),https://www.ice.gov/
U.S. Indo-Pacific Command        (USINDOPACOM),https://www.pacom.mil/
U.S. International Development Finance Corporation        (DFC),https://www.dfc.gov
U.S. International Trade Commission        (USITC),https://www.usitc.gov/
U.S. Marine Corps,https://www.marines.mil/
U.S. Marshals Service        (USMS),http://www.usdoj.gov/marshals/
"U.S. Military Academy, West Point",https://www.westpoint.edu/
U.S. Mint,https://www.usmint.gov
U.S. Mission to the United Nations        (USUN),https://usun.usmission.gov/
U.S. National Central Bureau - Interpol,https://www.justice.gov/interpol-washington
U.S. Navy,https://www.navy.mil/
U.S. Northern Command        (USNORTHCOM),https://www.northcom.mil/
U.S. Nuclear Regulatory Commission        (NRC),http://www.nrc.gov/
U.S. Parole Commission,https://www.justice.gov/uspc
U.S. Patent and Trademark Office        (USPTO),https://www.uspto.gov/
U.S. Postal Inspection Service,https://postalinspectors.uspis.gov/
U.S. Postal Service        (USPS),https://www.usps.com/
U.S. Senate,https://www.senate.gov/
U.S. Sentencing Commission,https://www.ussc.gov/
U.S. Southern Command        (SOUTHCOM),http://www.southcom.mil
U.S. Space Command,https://www.spacecom.mil/
U.S. Special Operations Command,https://www.socom.mil/
U.S. Strategic Command        (USSTRATCOM),http://www.stratcom.mil
U.S. Trade and Development Agency        (USTDA),http://www.ustda.gov/
U.S. Trade Representative,http://www.ustr.gov/
U.S. Transportation Command        (USTRANSCOM),https://www.ustranscom.mil/
U.S. Trustee Program,https://www.justice.gov/ust
Udall Foundation,http://www.udall.gov/
Under Secretary for Political Affairs,http://www.state.gov/p/
Under Secretary for Public Diplomacy and Public Affairs,https://www.state.gov/bureaus-offices/under-secretary-for-public-diplomacy-and-public-affairs/
Unified Combatant Commands,https://www.defense.gov/About/Combatant-Commands/
Uniformed Services University of the Health Sciences        (USU),https://www.usuhs.edu/
United States Institute of Peace        (USIP),http://www.usip.org/
United States Interagency Council on Homelessness        (USICH),https://www.usich.gov/
Veterans Affairs Department        (VA),https://www.va.gov/
Veterans Benefits Administration        (VBA),http://www.benefits.va.gov/
Veterans Health Administration        (VHA),http://www.va.gov/health
Veterans' Employment and Training Service        (VETS),https://www.dol.gov/agencies/vets
"Violence Against Women, Office on        (OVW)",https://www.justice.gov/ovw
Voice of America        (VOA),https://www.insidevoa.com
Wage and Hour Division        (WHD),https://www.dol.gov/agencies/whd
Washington Headquarters Services        (WHS),https://www.whs.mil/
Weather Service,http://www.nws.noaa.gov/
West Point Military Academy,https://www.westpoint.edu/
Western Area Power Administration        (WAPA),https://www.wapa.gov
White House,http://www.whitehouse.gov/
Wireless Telecommunications Bureau        (WTB),https://www.fcc.gov/wireless-telecommunications
Women's Bureau,https://www.dol.gov/agencies/wb
Woodrow Wilson International Center for Scholars,http://www.wilsoncenter.org
